method,male_cutoff_hz,female_cutoff_hz,male_si_sdr_db,female_si_sdr_db,avg_si_sdr_db,min_si_sdr_db,male_snr_db,female_snr_db,male_corr,female_corr,avg_corr,male_spectral_l1,female_spectral_l1,reconstruction_error,balanced_score
Butterworth,800.0,1150.0,0.8770437141142815,-5.656044366179178,-2.389500326032448,-5.656044366179178,2.973529339629064,1.0054278801034555,0.7418327374065814,0.46235201680570703,0.6020923771061442,nan,nan,0.18061357482721715,-4.374564904564183
Butterworth,1150.0,1300.0,1.104330534406345,-6.027748121106018,-2.4617087933498367,-6.027748121106018,2.934923931305802,0.9168516932019282,0.7504865372135556,0.44691921003788004,0.5987028736257178,nan,nan,0.060262447599589965,-4.398702001850591
Butterworth,650.0,1100.0,1.033408859082625,-5.568745696316885,-2.26766841861713,-5.568745696316885,3.2626587984970317,1.0290609497103442,0.7478025735595151,0.4660121061985364,0.6069073398790257,nan,nan,0.280835466684908,-4.399897520387337
Butterworth,900.0,1200.0,0.8746472129214155,-5.759559192735174,-2.4424559899068794,-5.759559192735174,2.8944907817183427,0.9791430106224086,0.7417406890691861,0.45802914138630985,0.599884915227748,nan,nan,0.14318220370905543,-4.408830163237081
Butterworth,1000.0,1250.0,0.9850208582244385,-5.882182324044294,-2.4485807329099276,-5.882182324044294,2.9152658060467793,0.9497370818840387,0.7459628184880208,0.4529329775681296,0.5994478980280752,nan,nan,0.10987518532707283,-4.410526469530071
Butterworth,750.0,1150.0,0.9280517203757344,-5.656044366179178,-2.363996322901722,-5.656044366179178,3.058759962521724,1.0054278801034555,0.7437879956691509,0.46235201680570703,0.603070006237429,nan,nan,0.2140896639866193,-4.414057821489692
Butterworth,600.0,1100.0,1.1399825854541727,-5.568745696316885,-2.214381555431356,-5.568745696316885,3.427581850960247,1.0290609497103442,0.7518300738151249,0.4660121061985364,0.6089210900068307,nan,nan,0.3258074283296319,-4.4325270802354
Butterworth,1100.0,1300.0,1.0783652848124894,-6.027748121106018,-2.4746914181467643,-6.027748121106018,2.9354980505374364,0.9168516932019282,0.7495056463710354,0.44691921003788004,0.5982124282044577,nan,nan,0.08101837988367999,-4.454177382058218
Butterworth,700.0,1150.0,0.9804949609694873,-5.656044366179178,-2.3377747026048454,-5.656044366179178,3.153645726888363,1.0054278801034555,0.7457903874061279,0.46235201680570703,0.6040712021059175,nan,nan,0.25204639675571244,-4.461747274994024
Butterworth,850.0,1200.0,0.8546389815117222,-5.759559192735174,-2.452460105611726,-5.759559192735174,2.9157078505843255,0.9791430106224086,0.7409715394020552,0.45802914138630985,0.5995003403941825,nan,nan,0.16791414861149798,-4.469067318413944
Butterworth,950.0,1250.0,0.9252372478621034,-5.882182324044294,-2.4784725380910952,-5.882182324044294,2.8998966564318795,0.9497370818840387,0.7436803066474288,0.4529329775681296,0.5983066421077792,nan,nan,0.1342046667369963,-4.491359749371676
Butterworth,800.0,1200.0,0.8770437141142815,-5.759559192735174,-2.441257739310446,-5.759559192735174,2.973529339629064,0.9791430106224086,0.7418327374065814,0.45802914138630985,0.5999309393964456,nan,nan,0.19478108344393896,-4.51073762377302
Butterworth,650.0,1150.0,1.033408859082625,-5.656044366179178,-2.3113177535482765,-5.656044366179178,3.2626587984970317,1.0054278801034555,0.7478025735595151,0.46235201680570703,0.6050772951826111,nan,nan,0.2920153341418964,-4.513216014556436
